Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-01-30T14:33:00Z,PFE,24.76,-39,Stop Market,Filled,-965.64, 
2024-01-30T14:50:00Z,BAC,31.87,-30,Stop Market,Filled,-956.1, 
2024-01-31T14:30:00Z,XOM,98.61032336,-10,Market,Filled,-986.1032336,TimeStop_D+4 
2024-01-31T14:30:00Z,MSFT,395.453612,-2,Stop Limit,Filled,-790.907224, 
2024-01-31T14:30:00Z,AMZN,155.82,-6,Stop Limit,Filled,-934.92, 
2024-01-31T14:30:00Z,TSLA,187.79,-5,Stop Limit,Filled,-938.95, 
2024-01-31T14:33:00Z,TSLA,193.42,5,Stop Market,Filled,967.1, 
2024-01-31T15:43:00Z,AMZN,169,6,Stop Market,Filled,1014, 
2024-01-31T19:23:00Z,MSFT,407.32,2,Stop Market,Filled,814.64, 
2024-02-01T14:30:00Z,NKE,98.13002153,-10,Market,Filled,-981.3002153,TimeStop_D+4 
2024-02-01T14:30:00Z,UNH,494.9217934,-2,Market,Filled,-989.8435868,TimeStop_D+4 
2024-02-01T14:30:00Z,GOOGL,142.0800533,7,Stop Limit,Filled,994.5603731, 
2024-02-01T14:30:00Z,META,395.4521678,2,Stop Limit,Filled,790.9043355, 
2024-02-01T14:31:00Z,GOOGL,137.82,-7,Stop Market,Filled,-964.74, 
2024-02-01T14:33:00Z,META,456.8834641,-2,Limit,Filled,-913.7669281, 
2024-02-02T14:30:00Z,NVDA,62.98220452,-16,Market,Filled,-1007.715272,TimeStop_D+4 
2024-02-02T14:30:00Z,DIS,95.7796136,-10,Market,Filled,-957.796136,TimeStop_D+4 
2024-02-02T14:30:00Z,TSLA,184.93,-5,Stop Limit,Filled,-924.65, 
2024-02-02T14:30:00Z,HD,337.63,-2,Stop Limit,Filled,-675.26, 
2024-02-02T14:30:00Z,NKE,96.33195395,-10,Stop Limit,Filled,-963.3195395, 
2024-02-02T14:30:00Z,PFE,24.22756192,-41,Stop Limit,Filled,-993.3300386, 
2024-02-02T14:31:00Z,TSLA,175.68,5,Limit,Filled,878.4, 
2024-02-02T14:31:00Z,NKE,99.22,10,Stop Market,Filled,992.2, 
2024-02-02T14:31:00Z,HD,347.76,2,Stop Market,Filled,695.52, 
2024-02-02T18:53:00Z,PFE,24.95,41,Stop Market,Filled,1022.95, 
2024-02-05T14:30:00Z,JPM,168.1284122,-5,Market,Filled,-840.6420612,TimeStop_D+4 
2024-02-05T14:30:00Z,GOOGL,144.2848465,6,Stop Limit,Filled,865.7090792, 
2024-02-05T14:30:00Z,AMZN,168.4,-5,Stop Limit,Filled,-842, 
2024-02-05T14:30:00Z,META,462.2603175,-2,Stop Limit,Filled,-924.5206351, 
2024-02-05T14:30:00Z,NVDA,67.52,14,Stop Limit,Filled,945.28, 
2024-02-05T14:30:00Z,UNH,483.6905,-2,Stop Limit,Filled,-967.381, 
2024-02-05T16:28:00Z,UNH,498.2,2,Stop Market,Filled,996.4, 
2024-02-06T14:30:00Z,TSLA,177.39,-5,Stop Limit,Filled,-886.95, 
2024-02-06T14:30:00Z,DIS,97.31903455,10,Stop Limit,Filled,973.1903455, 
2024-02-06T14:31:00Z,TSLA,182.71,5,Stop Market,Filled,913.55, 
2024-02-07T14:30:00Z,TSLA,188.78,5,Stop Limit,Filled,943.9, 
2024-02-07T14:30:00Z,NFLX,567.6,1,Stop Limit,Filled,567.6, 
2024-02-07T14:31:00Z,TSLA,183.12,-5,Stop Market,Filled,-915.6, 
2024-02-08T14:30:00Z,TSLA,191.52,5,Stop Limit,Filled,957.6, 
2024-02-08T14:30:00Z,XOM,98.08339797,10,Stop Limit,Filled,980.8339797, 
2024-02-08T16:38:00Z,TSLA,184.02,-5,Stop Market,Filled,-920.1, 
2024-02-09T14:30:00Z,GOOGL,144.9303941,-6,Market,Filled,-869.5823646,TimeStop_D+4 
2024-02-09T14:30:00Z,AMZN,169.85,5,Market,Filled,849.25,TimeStop_D+4 
2024-02-09T14:30:00Z,META,467.2594992,2,Market,Filled,934.5189985,TimeStop_D+4 
2024-02-09T14:30:00Z,NVDA,69.60265207,-14,Market,Filled,-974.437129,TimeStop_D+4 
2024-02-12T14:30:00Z,DIS,106.9009431,-10,Market,Filled,-1069.009431,TimeStop_D+4 
2024-02-12T14:30:00Z,META,474.5247116,2,Stop Limit,Filled,949.0494232, 
2024-02-12T14:30:00Z,NVDA,73.55153315,13,Stop Limit,Filled,956.1699309, 
2024-02-12T14:30:00Z,BAC,32.30586413,30,Stop Limit,Filled,969.1759238, 
2024-02-12T14:30:00Z,GS,376.8759037,2,Stop Limit,Filled,753.7518074, 
2024-02-12T14:30:00Z,NKE,103.0215387,9,Stop Limit,Filled,927.1938484, 
2024-02-12T15:02:00Z,META,453.4049082,-2,Stop Market,Filled,-906.8098164, 
2024-02-12T15:37:00Z,NVDA,71.34,-13,Stop Market,Filled,-927.42, 
2024-02-12T16:32:00Z,BAC,31.34,-30,Stop Market,Filled,-940.2, 
2024-02-13T14:30:00Z,NFLX,557.78,-1,Market,Filled,-557.78,TimeStop_D+4 
2024-02-13T14:30:00Z,MSFT,401.07,-2,Stop Limit,Filled,-802.14, 
2024-02-13T14:30:00Z,GOOGL,143.4605319,-6,Stop Limit,Filled,-860.7631917, 
2024-02-13T14:30:00Z,AMZN,168.7,-5,Stop Limit,Filled,-843.5, 
2024-02-13T14:30:00Z,NVDA,70.69,-14,Stop Limit,Filled,-989.66, 
2024-02-14T14:30:00Z,XOM,96.23136826,-10,Market,Filled,-962.3136826,TimeStop_D+4 
2024-02-14T14:30:00Z,META,466.4246458,2,Stop Limit,Filled,932.8492917, 
2024-02-14T14:30:00Z,TSLA,187.69,5,Stop Limit,Filled,938.45, 
2024-02-14T14:30:00Z,NFLX,566.52,1,Stop Limit,Filled,566.52, 
